year,city,country,avg_temp
1999,Hyderabad,Pakistan,27.54
2000,Hyderabad,Pakistan,27.73
2001,Hyderabad,Pakistan,27.70
2002,Hyderabad,Pakistan,27.88
2003,Hyderabad,Pakistan,27.38
2004,Hyderabad,Pakistan,27.94
2005,Hyderabad,Pakistan,27.21
2006,Hyderabad,Pakistan,27.29
2007,Hyderabad,Pakistan,27.69
2008,Hyderabad,Pakistan,27.23
2009,Hyderabad,Pakistan,27.88
2010,Hyderabad,Pakistan,28.00
2011,Hyderabad,Pakistan,27.41
2012,Hyderabad,Pakistan,27.23
2013,Hyderabad,Pakistan,27.90
